!,440146613583740928,left server,,,
(H₮)H⋂₦₮∄Ʀ,365551496143699968,,,,
(IX)BOBBOSS10.0,371717311452807170,,,Why is this here?,
a letter a,753912635875000400,,,"This list lets the World Record bot attach world records to discord users. If you want to be added to the sheet or need something corrected, contact @EternalFrost#0955 on discord with your submission name",
[sck]BREAKING RECORDS,461602641684856834,,,,
{ER},758940515479060500,,,,
〔𒁈〕»𝕆𝕚𝕝𝕞𝕒𝕟«,314381785100320768,,,,
<?W> Whoops,282984610466365451,,,,
<❂> ₭ǿrɇa,695979117262405643,,,,
♫Playful♫,347015092854063115,,,,
🔥Ѷαק🔱เηє🔥,380933616898932746,left server,,,
🥕Crazy Carrot🥕,793757433071271936,,,,
$hortstop,296760437637120020,,,,
2 Lagcreator,418232252607102986,,,,
๓๑,271060300197920769,,,,
A2,305749380110221313,,,,
Ablue,330867539917799434,left server,,,
Absol,301402719841812480,,,,
deepfreeze,821424796805758987,,,,
pool noodle,161258442386833408,,,,
Roman,662462279144439858,left server,,,
🎋,377761651220283392,left server,,,
AMagicalWizardPie,211138712866652160,deleted account,,,
Antelope,402575452595683328,,,,
asd,592034533113593906,deleted account,,,
Astra,340270483838599168,deleted account,,,
乃ΞᏒოUDΔ,448559284515635202,left server,,,
Best potato,352314617197887489,left server,,,
Bird,768614040766906418,,,,
BOOM! Tetris for Jeff,294398895788916739,,,,
evil isopod,939314067057823774,,,,
Buddy_Dog ,195467865435013120,,,,
C1 X,452834299498987521,,,,
Candy!,337669764308664330,deleted account,,, 
CaptainCloud,427180509408395270,left server,,,
clockatiel,589574464904364059,,,,
Clyde.,328249595530575872,left server,,,
CombineZ,310839580553248771,deleted account,,,
CongratsIsTrash,452793079238361089,left server,,,
core from syd
,571661098789371926,,,,
Crazoodles,244258267096678401,,,,
crong,550127910577766430,Banned from server,,,
CWWW,458405233517658133,,,,
CX,282327981106659328,,,,
Damocles,342038795757027329,,,,
Darks its Me,443075037013213206,,,,
Darky,627436445669392385,,,,
DeadLord,336594857395224579,,,,
deathrain,578032183730503680,deleted account,,,
Denied,478673246749720577,,,,
Denmark,389145102477557771,left server,,,
Deolveopoler,257822821877547010,left server,,,
DevinSucksAtLife,610832550054723597,,,,
Die?,282303137870512129,left server,,,
DopeMope,294954433047953411,left server,,,
Dark,362995365525454848,left server,,,
DragonFiire,247132778724851712,,,,
jax,577959861103493121,,,,
Dukeonkled,185851073469218816,left server,,,
[MG] Spin2Team,514953447636729866,,,,
EB,554823990011494413,,,,
eel,403197793738686476,,,,
Mr.Chemistry,435906617066913794,Banned from server,,,
4m,398571474329403403,left server,,,
eneri,265310998775332865,left server,,,
ENIGMA,430788144045096981,,,,
EternalFrost,345346351875358721,left server,,,
