Notes:,,,,,Player Stats,,,,,Don't ,,Tank Stats,
DO NOT ADD/DELETE/MOVE ANY COLUMNS OR ROWS,,,,,Player Name,# of Records,Combined WR Score,Ratio,Ratio Player Name Format,Delete,,Tank Name,Combined WR Score
,,,,,10,1,1875830,-1,10 (1 WR),These,,(Basic) Tank,8095074
,,,,,69,11,19311201,1755563.7272727273,69 (11 WR),Empty,,Director,6326544
,,,,,Thing,12,25049640,2087470,Thing (12 WR),Columns,,Flank Guard,4923564
This is the New_Calculations sheet,,,,,Ditine,3,4204509,-1,Ditine (3 WR),,,Machine Gun,8904531
which replaces the old Calculations sheet.,,,,,a letter a,3,3166997,-1,a letter a (3 WR),They,,Pounder,4626513
,,,,,Jackson,82,198263826,2417851.536585366,Jackson (82 WR),Exist,,Sniper,9299877
You probably can't see any formulas on here,,,,,Nothingness,8,11047465,1380933.125,Nothingness (8 WR),To ,,Trapper,5604035
"UPDATE 7-15-21: TimeTrialsStats were just added, and are ",,,,,Summersong,1,645020,-1,Summersong (1 WR),Provide ,,Twin,5552313
calculated manually with pure spreadsheet formulas because I,,,,,potatoes,2,1699479,-1,potatoes (2 WR),Space,,Artillery,7040915
don't want to bother automating it at the moment,,,,,crong,8,9727572,1215946.5,crong (8 WR),In ,,Assassin,6870245
,,,,,O'Chunks,18,44799333,2488851.8333333335,O'Chunks (18 WR),Case,,Auto 3,6551085
Thats because this sheet is filled in using,,,,,[MG] Spin2Team,14,13578091,969863.6428571428,[MG] Spin2Team (14 WR),We,,Builder,3862365
a Google Apps Script File (Tools > Script Editor).,,,,,Thx m8,1,1976304,-1,Thx m8 (1 WR),Add ,,Cruiser,6272358
DO NOT CHANGE ANYTHING IN THERE WITHOUT PERMISSION!,,,,,Candy!,5,6092390,1218478,Candy! (5 WR),New,,Destroyer,13797883
,,,,,geometrically dominated,12,9412244,784353.6666666666,geometrically dominated (12 WR),Player,,Double Twin,8362060
The old Calculations sheet is still around,,,,,Otobus,4,4392662,-1,Otobus (4 WR),Stats,,Gunner,8924121
but it is hidden since it no longer serves a,,,,,Denied,4,5067658,-1,Denied (4 WR),In ,,Hexa Tank,6095843
purpose and is/was an unmaintainable mess,,,,,e,3,4438269,-1,e (3 WR),The,,Hunter,5984867
and a complete pain in the 🍑 to update,,,,,From Asia,3,4198590,-1,From Asia (3 WR),Future,,Launcher,3688409
whenever a new tank or gamemode was added.,,,,,pool noodle,1,2468493,-1,pool noodle (1 WR),,,Minigun,6882251
,,,,,𝐔,28,87657741,3130633.6071428573,𝐔 (28 WR),,,Overseer,12234296
This New_Calculations sheet on the other hand,,,,,Cipher,11,17618211,1601655.5454545454,Cipher (11 WR),,,Rifle,6585405
