Notes:,,,,,Player Stats,,,,,Don't ,,Tank Stats,
DO NOT ADD/DELETE/MOVE ANY COLUMNS OR ROWS,,,,,Player Name,# of Records,Combined WR Score,Ratio,Ratio Player Name Format,Delete,,Tank Name,Combined WR Score
,,,,,ay96,7,14838592,2119798.8571428573,ay96 (7 WR),These,,(Basic) Tank,5364476
,,,,,golden,28,33459827,1194993.8214285714,golden (28 WR),Empty,,Director,3876485
,,,,,Andycito123,1,2096542,-1,Andycito123 (1 WR),Columns,,Flank Guard,952173
This is the New_Calculations sheet,,,,,geometrically dominated,18,20621158,1145619.888888889,geometrically dominated (18 WR),,,Machine Gun,1494596
which replaces the old Calculations sheet.,,,,,fe,2,2644649,-1,fe (2 WR),They,,Pounder,0
,,,,,Nothingness,11,16675526,1515956.9090909092,Nothingness (11 WR),Exist,,Sniper,7616097
You probably can't see any formulas on here,,,,,Reckless,3,2707272,-1,Reckless (3 WR),To ,,Trapper,738506
"UPDATE 7-15-21: TimeTrialsStats were just added, and are ",,,,,baking soda,5,16838265,3367653,baking soda (5 WR),Provide ,,Twin,2783423
calculated manually with pure spreadsheet formulas because I,,,,,Alif (ألف)🌷,1,1282894,-1,Alif (ألف)🌷 (1 WR),Space,,Artillery,9588428
don't want to bother automating it at the moment,,,,,Corrupt Y,2,5698915,-1,Corrupt Y (2 WR),In ,,Assassin,5357406
,,,,,YT=GLITCHER TM,26,54558689,2098411.1153846155,YT=GLITCHER TM (26 WR),Case,,Auto 3,2765788
Thats because this sheet is filled in using,,,,,Nya~,40,76316772,1907919.3,Nya~ (40 WR),We,,Builder,2006383
a Google Apps Script File (Tools > Script Editor).,,,,,Jackson,20,72490366,3624518.3,Jackson (20 WR),Add ,,Cruiser,0
DO NOT CHANGE ANYTHING IN THERE WITHOUT PERMISSION!,,,,,squid lotion,1,1066175,-1,squid lotion (1 WR),New,,Destroyer,3084868
,,,,,Clare,1,681572,-1,Clare (1 WR),Player,,Double Twin,2191161
The old Calculations sheet is still around,,,,,🥕Crazy Carrot🥕,2,2023905,-1,🥕Crazy Carrot🥕 (2 WR),Stats,,Gunner,0
but it is hidden since it no longer serves a,,,,,StormX,2,1913889,-1,StormX (2 WR),In ,,Hexa Tank,3811003
purpose and is/was an unmaintainable mess,,,,,AstRatJP,1,1902063,-1,AstRatJP (1 WR),The,,Hunter,681572
and a complete pain in the 🍑 to update,,,,,incog darky,1,2034434,-1,incog darky (1 WR),Future,,Launcher,545450
whenever a new tank or gamemode was added.,,,,,Neptuun,37,91134619,2463097.810810811,Neptuun (37 WR),,,Minigun,0
,,,,,ThunderFlame,1,2704981,-1,ThunderFlame (1 WR),,,Overseer,2818051
