Notes:,,,,,Player Stats,,,,,Don't ,,Tank Stats,,,Don't ,,"Time Trial Stats
(not scripted, just manual formulas)",
DO NOT ADD/DELETE/MOVE ANY COLUMNS OR ROWS,,,,,Player Name,# of Records,Combined WR Score,Ratio,Ratio Player Name Format,Delete,,Tank Name,Combined WR Score,,Delete,,,
,,,,,0,1,2331609,-1,0 (1 WR),These,,(Basic) Tank,34180256,,These,,Ender,1
,,,,,1,1,2874518,-1,1 (1 WR),Empty,,Director,27214447,,Empty,FFA 1m,Quad,8
,,,,,8,5,16464544,3292908.8,8 (5 WR),Columns,,Flank Guard,45745051,,Columns,Maze 1m,Nyrox,1
This is the New_Calculations sheet,,,,,69,2,3497421,-1,69 (2 WR),,,Machine Gun,30035488,,,TDM 1m,evil isopod,5
which replaces the old Calculations sheet.,,,,,132,5,17066738,3413347.6,132 (5 WR),They,,Pounder,24274335,,They,Ender,rela 🐣,7
,,,,,JellySnk,1,5539118,-1,JellySnk (1 WR),Exist,,Sniper,36066384,,Exist,Quad,ια,2
You probably can't see any formulas on here,,,,,ExC,19,87644502,4612868.52631579,ExC (19 WR),To ,,Trapper,17588527,,To ,Nyrox,Askatasuna,1
"UPDATE 7-15-21: TimeTrialsStats were just added, and are ",,,,,Smiley,25,113638613,4545544.52,Smiley (25 WR),Provide ,,Twin,34302830,,Provide ,evil isopod,🥕Crazy Carrot🥕,2
calculated manually with pure spreadsheet formulas because I,,,,,Corrupt Y,20,69998754,3499937.7,Corrupt Y (20 WR),Space,,Artillery,40899953,,Space,rela 🐣,OnyxD,2
don't want to bother automating it at the moment,,,,,Armin Play YT,7,13811767,1973109.5714285714,Armin Play YT (7 WR),In ,,Assassin,33140610,,In ,ια,4m,9
,,,,,WL9,5,15045042,3009008.4,WL9 (5 WR),Case,,Auto 3,17948741,,Case,Askatasuna,From Asia,1
Thats because this sheet is filled in using,,,,,[LK],13,36848004,2834461.846153846,[LK] (13 WR),We,,Builder,34333668,,We,🥕Crazy Carrot🥕,Cannonman,1
a Google Apps Script File (Tools > Script Editor).,,,,,jax,11,25826860,2347896.3636363638,jax (11 WR),Add ,,Cruiser,22127356,,Add ,OnyxD,Thing,2
DO NOT CHANGE ANYTHING IN THERE WITHOUT PERMISSION!,,,,,Ice Cream Samich,4,13143427,-1,Ice Cream Samich (4 WR),New,,Destroyer,48019143,,New,4m,Thx m8,1
,,,,,a/4,1,1787082,-1,a/4 (1 WR),Player,,Double Twin,30573254,,Player,From Asia,🎋,1
The old Calculations sheet is still around,,,,,Ender,7,31564444,4509206.285714285,Ender (7 WR),Stats,,Gunner,25782579,,Stats,Cannonman,DinhTung,1
but it is hidden since it no longer serves a,,,,,baking soda,45,214881119,4775135.977777778,baking soda (45 WR),In ,,Hexa Tank,41154034,,In ,Thing,ExC,1
purpose and is/was an unmaintainable mess,,,,,4m,18,55403909,3077994.9444444445,4m (18 WR),The,,Hunter,18226168,,The,Thx m8,nata,1
and a complete pain in the 🍑 to update,,,,,🎋,12,26469885,2205823.75,🎋 (12 WR),Future,,Launcher,19730075,,Future,FFA 2m,🌷|retnuH,1
