Timestamp,Status,Score,Name,Proof,Tank,Game Mode,Special Submission,Enter Extra Details (Like What Secondary Record You Are Submitting For Or Your Discord Tag like Road#6943):,,,
Thu Jul 19 2018 23:54:09 GMT-0400 (Eastern Daylight Time),~,177.01k,View Older Submissions,https://docs.google.com/spreadsheets/d/1iYS59nu9EOwu2fct0SaOxVV8ZwQBXld94AVvFdUggfo/edit#gid=0,<- View Older Subs,4TDM,,,,,
Sat Aug 06 2022 05:07:42 GMT-0400 (Eastern Daylight Time),v,2789175,Jackson,https://imgur.com/gallery/P7SbOVG,Director,2TDM,Highest Arras Scores,,,,
Sat Aug 06 2022 08:01:01 GMT-0400 (Eastern Daylight Time),x,1431941,🍁🍂 (New Player :D),,Octo Tank,2TDM,Secondary Record,,,,
Sat Aug 06 2022 08:01:53 GMT-0400 (Eastern Daylight Time),v,3219802,Thunder,https://imgur.com/a/RVNrdhf,Spike,2TDM,Highest Arras Scores,Daster#6248 - I wasn't expecting this score at all tbh,,,
Sat Aug 06 2022 08:29:57 GMT-0400 (Eastern Daylight Time),v,2234726,X...,https://imgur.com/a/2e5EPdF,Auto Builder,2TDM,Highest Arras Scores,X...#8469,,,
Sat Aug 06 2022 08:30:49 GMT-0400 (Eastern Daylight Time),v,2231931,🍁🍂 (New Player :D),https://imgur.com/Vp0PW2O,Octo Tank,2TDM,Highest Arras Scores,,,,
Sat Aug 06 2022 11:38:47 GMT-0400 (Eastern Daylight Time),x,6969,[🩸] Gєтzια,,Manager,4TDM,Secondary Record,getzia#3527,,,
Sun Aug 07 2022 08:38:57 GMT-0400 (Eastern Daylight Time),x,1157340,🍁🍂 (New Player :D),https://imgur.com/vhG0KIc,Overlord,~~Other~~,Secondary Record,This record is from Half event lol,,,
Sun Aug 07 2022 20:28:56 GMT-0400 (Eastern Daylight Time),v,3564568,Jackson,https://imgur.com/gallery/AscPnfm,Bent Hybrid,Siege,Event Record,,,,
Mon Aug 08 2022 01:38:10 GMT-0400 (Eastern Daylight Time),v,2975845,Zeo'Xe,https://imgur.com/a/QZDeCJr,Commander,Squads-Duos,Highest Arras Scores,Dull#1559,,,
Mon Aug 08 2022 03:02:03 GMT-0400 (Eastern Daylight Time),v,2291290,jsohi,https://imgur.com/gallery/R7Z6Z5R,Triple Shot,2TDM,Highest Arras Scores,"aimed for 3m solo, but I died funny death",,,
Mon Aug 08 2022 22:04:33 GMT-0400 (Eastern Daylight Time),v,4226166,8,https://imgur.com/a/lUQOd2P,Battleship,2TDM,Highest Arras Scores,,,,
Tue Aug 09 2022 05:11:46 GMT-0400 (Eastern Daylight Time),v,1922949,Mine,https://imgur.com/a/EGugTY3,Poacher,Maze 2TDM,,,,,
Tue Aug 09 2022 08:32:52 GMT-0400 (Eastern Daylight Time),v,3001996,Septerion,https://imgur.com/gallery/az8Xawl,Minigun,Portal 4TDM,,Septerion#5154,,,
Tue Aug 09 2022 10:02:26 GMT-0400 (Eastern Daylight Time),v,2321750,Mine,https://imgur.com/a/fdA3Ia6,Swarmer,Maze 2TDM,Highest Arras Scores,,,,
