,,,
,Click Here for Up-to-date Rankings,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Focus Fire Spammers Candidates,"AMagicalWizardPie, Quadruplex, Cannonman, S3CR3T, Road, [!k], JB Colombia, Stradpult, https://fortniteburger.net, Zezo, Candy, Psychlow",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,"vvvvvvvv   I made the old rankings white text and white background, so its still there if we ever need it again   vvvvvvv",,
[Obsolete Rankings Below],,,
,,,
,,,
,,,
Triangle-Branch Player Rankings,,,
,,,
Rank,Player,Greatest Achievements,Links
,,,
1,Jimmy,- 4.70 mil Ram Booster,Link
,,- 3.11 mil Ram Fighter,Link
,,- 2.06 mil Ram Fighter 
,Link
,,- 1.95 mil Ram Fighter ,Link
,,- 1.78 mil Ram Booster,Link
,,- 1.68 mil Ram Booster ,Link
,,- 1.48 mil Ram Surfer 
,Link
,,,
2,DukeOnkled,- 2.77mil Auto-Triangle,Link
,,- 1.14 mil Surfer,Link
,,,
3,pedal,- 2.31 mil Ram Surfer,Link
,,- 1.15 mil Ram Fighter,Link
,,- 1.01 mil Ram Fighter,Link
,,,
4,Road,- 1.92 mil Bomber (only person to have over 1 mil with Bomber)
,Link
,,- 1.70 mil Surfer,Link
,,- 1.75 mil Auto-Triangle,Link
,,- 1.52 mil Surfer,Link
,,- 1.37 mil Bomber,Link
,,- 1.33 mil Ram Falcon ,Link
,,- 1.52 mil Triangle,Link
,,- 1.37 mil Ram Triangle,Link
,,- Creator of Gila Monster build,Link
,,,
5,red,- 1.48 mil Ram Booster,Link
,,- 1.42 mil Ram Booster,Link
,,- 1.37 mil Ram Fighter,Link
,,,
6,CombineZ,- 1. 35 mil Auto-Triangle ,Link
,,- 1.14 mil Auto-Triangle,Link
,,,
7,S3CR3T,- 1.32 mil Ram Fighter,Link
,,,
,,,
,,,
Destroyer-Branch Player Rankings,,,
,,,
Rank,Player,Greatest Achievements,Links
,,,
1,S3CR3T,- 4.37 mil Annihilator,Link
,,- 1.58 mil Annihilator,Link
,,,
2,CombineZ,- 2.48 mil Destroyer (in FFA) (with no bullet speed or reload),Link
,,- 1.64 mil Hybrid (in FFA) (with no bullet speed or reload),Link
,,- 1.58 mil Destroyer,Link
,,,
3,DukeOnkled,- 3.45 mil Hybrid ,Link
,,,
4,Road,- 2.04 mil Destroyer,Link
,,- 1.54 mil Hybrid,Link
,,- 1.41 mil Annihilator,Link
,,- 1.28 mil Hybrid,Link
,,,
5,[!k],- 1.83 mil Annihilator,Link
,,- 1.81 mil Destroyer,Link
,,- 1.25 mil Annihilator,Link
,,- 1.17 mil Annihilator,Link
,,- 1.14 mil Hybrid,Link
,,,
6,Shyguymask
,- 1.31 mil Annihilator,Link
,,- 1.14 mil Annihilator,Link
,,,
,,,
,,,
,,,
Dorito Player Rankings,,,
,,,
Rank,Player,Greatest Achievements,Links
,,,
1,[!k],- 1.30 mil Overtrapper,Link
,,- 1.06 mil Overlord (in only 12 min 13 sec = fastest drone 1 mil),Link
,,- 1.80 mil Overseer,Link
,,- 1.67 mil Overseer,Link
,,- 1.10 mil Overlord,Link
,,,
2,S3CR3T,- 2.19 mil Overlord,Link
,,- 1.12 mil Overlord,Link
,,,
3,red,- 1.80 mil Overlord,Link
,,,
4,AMagicalWizardPie,- 1.40 mil Overseer,Link
,,- 1.07 mil Overseer,Link
,,- 1.03 mil Director,Link
,,- 1.03 mil Overseer,Link
,,- 1.01 mil Overseer,Link
,,,
5,DukeOnkled,- 1.47 mil Overlord,Link
,,,
6,Road,- 1.40 mil Director,Link
,,- 1.34 mil Overlord,Link
,,- 1.05 mil Overseer,Link
,,,
7,VaPTine YT,- 1.18 mil Overseer,Link
,,,
8,Potatotomato,- 1.16 mil Director,Link
,,- First person to find that Director has stronger drones than Overlord,Link
