 ,Players with the Highest 
Combined World Record Scores,,,,Players With the Most Records ,,,,Tanks with the Highest
 Combined Record Scores,,,,Players with the Highest World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on HAS+LAS,,,,Most Common Tanks on the HAS,,,,Players with the Highest 
Combined Event Record Scores,,,,Players With the Most Event Records ,,,,Tanks with the Highest
 Combined Event Record Scores,,,,Players with the Highest Event World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on EAS,,,,Players with the Highest 
Combined Incog Record Scores,,,,Players With the Most Incog Records ,,,,Tanks with the Highest
 Combined Incog Record Scores,,,,Players with the Highest Incog World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on IAS,,,,Players with the most times on Time Trials ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Tank,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,# of times

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,baking soda,214881119,,1,Mine,60,,1,Auto Overseer,98194558,,1,hi (8 WR),10755216.75,,1,evil isopod,214,,1,Overlord,430,,1,Jackson,198263826,,1,Jackson,82,,1,Overlord,26179951,,1,𝐔 (28 WR),3130633.6071428573,,1,𝐔,70,,1,Neptuun,91134619,,1,Nya~,40,,1,Engineer,24512713,,1,Jackson (20 WR),3624518.3,,1,Neptuun,25,,1,4m,9
,2,evil isopod,198075061,,2,baking soda,45,,2,Overlord,74330641,,2,Roman (9 WR),7528340.888888889,,2,Quad,192,,2,Annihilator,220,,2,𝐔,87657741,,2,𝐔,28,,2,Factory,19181631,,2,Zeo'Xe (7 WR),2946713.714285714,,2,Jackson,60,,2,Nya~,76316772,,2,Neptuun,37,,2,Auto Assassin,20623109,,2,baking soda (5 WR),3367653,,2,Jackson,22,,2,Quad,8
,3,Mine,188446604,,3,evil isopod,42,,3,Streamliner,73384276,,3,Para (6 WR),7230796.5,,3,baking soda,189,,3,Manager,213,,3,O'Chunks,44799333,,3,O'Chunks,18,,3,Auto Spawner,17680975,,3,O'Chunks (18 WR),2488851.8333333335,,3,🥕Crazy Carrot🥕,25,,3,Jackson,72490366,,3,golden,28,,3,Spawner,19404653,,3,Neptuun (37 WR),2463097.810810811,,3,Nya~,20,,3,rela 🐣,7
,4,Quad,139402740,,4,Quad,34,,4,Hybrid,58289563,,4,pedal (5 WR),5955750.4,,4,Mine,136,,4,Auto Overseer,157,,4,Nguyen,33455673,,4,buff barricade,17,,4,Spawner,17143270,,4,Jackson (82 WR),2417851.536585366,,4,O'Chunks,18,,4,YT=GLITCHER TM,54558689,,4,YT=GLITCHER TM,26,,4,Auto Overseer,18793029,,4,WL9 (6 WR),2262365.8333333335,,4,Thx m8,15,,4,evil isopod,5
,5,Smiley,113638613,,5,Smiley,25,,5,Manager,56198339,,5,Nyrox (10 WR),5815457.7,,5,Thing,131,,5,Smasher,134,,5,Thing,25049640,,5,[MG] Spin2Team,14,,5,Auto Gunner,16450153,,5,Nguyen (14 WR),2389690.9285714286,,5,WL9,16,,5,golden,33459827,,5,Jackson,20,,5,Overlord,15524508,,5,ay96 (7 WR),2119798.8571428573,,5,YT=GLITCHER TM,14,,5,ια,2
,6,Zeo'Xe,108664176,,5,Zeo'Xe,25,,6,Overseer,55624549,,6,Mr.Hacker YT (9 WR),5735952.111111111,,6,Nyrox,127,,6,Hybrid,130,,6,Devα,24719153,,5,you tried ☆,14,,6,Nailgun,14832513,,6,Thing (12 WR),2087470,,6,Thing,15,,6,geometrically dominated,20621158,,6,geometrically dominated,18,,6,Mega-3,14731525,,6,YT=GLITCHER TM (26 WR),2098411.1153846155,,6,Quad,11,,5,🥕Crazy Carrot🥕,2
,7,ια,89558611,,7,Corrupt Y,20,,7,Predator,53405108,,7,Crown the Ö. (15 WR),5459572.666666667,,7,Stradpult,125,,7,Overseer,112,,7,Zeo'Xe,20626996,,5,Devα,14,,7,Manager,14531184,,7,poui (6 WR),1977906.8333333333,,7,69,13,,7,baking soda,16838265,,7,Nothingness,11,,7,Annihilator,14709493,,7,Nya~ (40 WR),1907919.3,,7,WL9,8,,5,OnyxD,2
,8,ExC,87644502,,8,ExC,19,,8,Overtrapper,52511053,,8,Thing (16 WR),4790185.375,,8,ExC,117,,8,Streamliner,103,,8,69,19311201,,5,Nguyen,14,,8,Machine Gunner,14200752,,8,Typexleta (6 WR),1958608,,8,Awootube,12,,8,Nothingness,16675526,,8,ay96,7,,8,Auto Double,14375974,,8,Oue (6 WR),1688065.8333333333,,8,ay96,6,,5,Thing,2
,9,hi,86041734,,8,ια,19,,9,Annihilator,52410623,,9,baking soda (45 WR),4775135.977777778,,9,Zeo'Xe,112,,9,Spike,102,,9,[LK],17782279,,9,Thing,12,,9,Destroyer,13797883,,9,Mine (5 WR),1895963.6,,9,Zeo'Xe,11,,9,ay96,14838592,,9,WL9,6,,9,Spreadshot,13855815,,9,Nothingness (11 WR),1515956.9090909092,,9,Zeo'Xe,5,,5,ascending,2
,10,Crown the Ö.,81893590,,10,4m,18,,10,Gunner Trapper,52210311,,10,evil isopod (42 WR),4716072.880952381,,10,4m,111,,10,Auto Double,100,,10,Cipher,17618211,,9,geometrically dominated,12,,10,Overdrive,13724140,,10,Devα (14 WR),1765653.7857142857,,10,Micckey 😎,9,,10,WL9,13574195,,9,Oue,6,,10,Machine Gunner,13850784,,10,golden (28 WR),1194993.8214285714,,9,baking soda,5,,10,Ender,1
,11,Thing,76642966,,10,2not1🌹,18,,11,Auto Assassin,51766422,,11,ια (19 WR),4713611.105263158,,11,Thx m8,109,,11,Overdrive,96,,11,🥕Crazy Carrot🥕,16768731,,9,[LK],12,,11,Annihilator,12961362,,11,69 (11 WR),1755563.7272727273,,10,Mine,9,,11,Maku,12877904,,11,baking soda,5,,11,Penta Shot,12466090,,11,geometrically dominated (18 WR),1145619.888888889,,11,Awootube,3,,10,Nyrox,1
,12,Corrupt Y,69998754,,12,Thing,16,,12,Overdrive,50342716,,12,Mr.Chemistry (6 WR),4614423.333333333,,12,🥕Crazy Carrot🥕,103,,12,Triplet,85,,12,buff barricade,13920370,,12,69,11,,12,Overseer,12234296,,12,Anto (5 WR),1645550.8,,10,ThunderFlame,9,,12,Quad,11340508,,12,RAJA,4,,12,Falcon,10892613,,,,,,11,Corrupt Y,3,,10,Askatasuna,1
