Retired Tanks,,                            Maze,,>Proof<,                  Open 3/4 TDM,,>Proof<,             4 Team Domination,,>Proof<,                            FFA,,>Proof<,        2 Team Maze Mothership,,>Proof<,         Open Maze Domination,,>Proof<,                          4 TDM,,>Proof<,                          2 TDM,,>Proof<,              2 Team Domination,,>Proof<,   Mothership/Portal Mothership,,>Proof<,                    Portal 4TDM,,>Proof<
CellImage,Auto Cruiser,995490,Quadruplex,https://i.imgur.com/2dQu0s3.png,,,,,,,893950,Quadruplex,https://i.imgur.com/EtD35aA.png,,,,,,,912750,Absol,https://youtu.be/90rRy-p0EGY,1020000,S3CR3T,https://cdn.discordapp.com/attachments/395646588682240020/433278486170566666/Kepernyofelvetel_583.png,156250,Stradpult,https://cdn.discordapp.com/attachments/395646588682240020/451693816743854080/unknown.png,339240,S3CR3T,https://cdn.discordapp.com/attachments/395646588682240020/458674650336198656/Kepernyofelvetel_66.png,184220,Sep.,https://cdn.discordapp.com/attachments/395646588682240020/465270462440669204/Screen_Shot_2018-07-07_at_4.37.57_PM.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,             4 Team Domination,,>Proof<,                            FFA,,>Proof<,,,,,,,                          4 TDM,,>Proof<,,,,              2 Team Domination,,>Proof<,,,,,,
,Bent Boomer,,,,,,,,,,160562,moouse,Proof,,,,,,,325868,Oilman,Proof,,,,338514,〔𒁈〕»𝕆𝕚𝕝𝕞𝕒𝕟«,Proof,,,,,,
,Hurricane,,,,,,,124956,Voizion,Proof,,,,,,,,,,,,,,,,,,,,,,,,
,Master,,,,,,,,,,,,,,,,,,,472339,S3CR3T,https://cdn.discordapp.com/attachments/395646588682240020/430667105952858123/Kepernyofelvetel_527.png,,,,,,,,,,,,
,Quad-Trapper,,,,,,,,,,1091949,moouse,Proof,,,,,,,129495,Oilman,Proof,,,,330817,moouse,Proof,,,,,,
,Quintuplet,,,,,,,479071,EternalFrost,Proof,565227,moouse,Proof,,,,,,,1599946,Sterlon,Proof,,,,130345,〔𒁈〕»𝕆𝕚𝕝𝕞𝕒𝕟«,Proof,,,,,,
,Spawner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vulcan,,,,,,,,,,1485512,EFrost,Proof,,,,,,,429170,Fillygroove,Proof,,,,719616,moouse,Proof,,,,,,
,Weird Spike,,,,,,,912753,Jimmy,Proof,925671,Jimmy,Proof,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,What's this? It's a Retired Rule!,It's still relevant should the scores be submitted but it does not need to be on the rules page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cruiser-Branch,"Any cruiser-branch submissions for FFA and 4TDM Domination will not be accepted if they were done during the period when cruisers were ridiculously OP, which approximately lasted from 12:01 AM EST to 6:00 PM EST on May 8th,2018.

The following known screenshots should not be accepted if submitted as they violate the rule:
- 2.11 mil Carrier 4TDM Dom. by Road (https://bit.ly/2IuIAtA)
- 1.46 mil Carrier FFA by Efrost/EternalFrost (https://bit.ly/2K8sT8R)
- 1.08 mil Battleship FFA by trtl/Turtle (https://bit.ly/2jL1mPn)
- 1.28 mil Carrier FFA by Oganesson118 (https://bit.ly/2wu9SLR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,This one isn't relevant at all but there's alot of text so im copying it over here in case parts want to be canabalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Name used in spreadsheet,"Records will be submitted with the name you used in-game for the record. If you want the record to be submitted with your Discord name, you must provide additional screenshots for proof. Three unique screenshots total are required for gamemodes with team bases (2TDM, 4TDM, 4 Team Domination, 2 Team Domination), and two screenshots are required for gamemodes without bases (Open TDM, FFA, Mothership). Occasionally, there are ExCeptions made if you alone have shown consistent use of a certain name - examples of this include Dooky (DukeOnkled), Candy! (rtrt), Fineagle (PokeSvorlds), MQ (๓๑), etc... Additionally, please note that consistent use of a certain screen appearance can allow for exemptions from the multiple screenshot rule as well. An example of this is Zane's screen appearance (https://bit.ly/2LLwM4V) which includes the brownish bars at the top and bottom as well as the more "squarish" than normal dimensions of the screenshot itself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,No Upgrading Mid-Game,"You cannot play as one tank for a large portion of your game, and then upgrade to a different tank mid-game, and proceed to submit a record for any of the tanks you played. For instance, you cannot play as an Overseer for a sizeable amount of time, and then upgrade to Banshee, and afterwards proceed to submit a record for either Overseer or Banshee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Kills From the Christmas Button Do Not Count,Self-Explanatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
