,,,,,,,,,,,,,,,,,,
,Submit Your Runs Here,,,,,,Placement,FFA 1m,,Time,Maze 1m,,Time,TDM 1m,,Time,,Requirements (1m)
,,,,,,,,,,,,,,,,,,
,,,,,,,#1,Ender,https://cdn.discordapp.com/attachments/1044131085463851028/1084973700178260040/screenshot_-_2020-12-31T140016.674.png,5:46,Quad,https://youtu.be/wEfkr_cfp5A,4:33,Nyrox,https://www.youtube.com/watch?v=XK8zzPObvLgg,5:47,,1. FFA runs must be below 11 minutes
,Rules that your run must follow:,,,,,,#2,evil isopod,https://media.discordapp.net/attachments/835597737642688562/954857363490361384/unknown.png,7:08,rela 🐣,https://media.discordapp.net/attachments/395646588682240020/864054382520565760/unknown.png,7:16,ια,https://www.youtube.com/watch?v=7FqEK_j7-Vc,8:01,,2. Maze runs must be below 11 minutes
,1. Runs must keep a kill/score ratio of 2.5 kills per 100k ,,,,,,#3,Askatasuna,https://imgur.com/a/0VmKWpk,7:22,🥕Crazy Carrot🥕,https://media.discordapp.net/attachments/579412094986878976/845381730776514590/Fastest_1m.png?,7:25,OnyxD,https://imgur.com/a/hPQJmSI,8:03,,3. TDM must be below 13 minutes
,2. Runs obtained with a perviously nerfed tank will be placed onto the 'Legacy Runs' section,,,,,,#4,4m,https://imgur.com/gallery/nyym4J5,7:34,4m,https://media.discordapp.net/attachments/699754631873560717/923298659179835412/7.png,7:48,From Asia,https://imgur.com/a/LRbcdE3,8:06,,
,"3. It is recommended that you record your runs and upload them to youtube, but this is not required",,,,,,#5,Cannonman,https://media.discordapp.net/attachments/395646588682240020/672240323342237697/jcp9g0vacdy21.png?width=1340&height=655,7:39,Thing,https://imgur.com/a/MOAsMUf,7:53,Thx m8,https://media.discordapp.net/attachments/891542022719148095/917736708001398804/Overdrive_1.0_million_2_Hasty.png?width=1191&height=670,8:22,,
,"4. If you recorded your gameplay, your time stops as soon as you reach the milestone (1m, 2m, 3m)",,,,,,,,,,,,,,,,,
,"However, if you did not record your time will be counted as what is on your death screen",,,,,,Placement,FFA 2m,,Time,Maze 2m,,Time,TDM 2m,,Time,,Requirements (2m)
,"5. Runs abusing any sort of bug, glitch, or any unlegit means (feeding, teaming, etc.) will be rejected. ",,,,,,,,,,,,,,,,,
,,,,,,,#1,Thing,https://media.discordapp.net/attachments/790131315139543040/850826314080190494/screenshot_-_2021-06-05T155851.780.png,20:10,4m,https://imgur.com/gallery/GnLBz7G,20:46,ια,https://www.youtube.com/watch?v=jOrPTSqjPxo,25:01,,1. FFA runs must be below 28 minutes
,,,,,,,#2,evil isopod,https://www.youtube.com/watch?v=8IUIf42Kh6Y,20:35,4m,https://cdn.discordapp.com/attachments/885213097885859880/895708258327728240/unknown.png,21:18,🎋,https://imgur.com/a/EFtaTK9,26:00,,2. Maze runs must be below 28 minutes
,,,,,,,#3,4m,https://media.discordapp.net/attachments/835384578830368819/950018438309511238/unknown.png?width=1202&height=676,21:23,Quad,https://youtu.be/o8SBTdO93Nc,22:33,DinhTung,https://imgur.com/gallery/jsjjGF2,26:54,,3. TDM must be below 35 minutes
,,,,,,,#4,ExC,https://imgur.com/a/Hl9gmyT,21:40,nata,https://media.discordapp.net/attachments/395646588682240020/864088458293018634/20200609-1502_65656f7f32ebe3b9e245829140fa6197.png?width=1048&height=655,22:54,🌷|retnuH,https://imgur.com/gallery/UjLIoj2,27:18,,
,,,,,,,#5,4m,https://media.discordapp.net/attachments/835384578830368819/860804285042130954/Screenshot_2962.png?,22:22,[MG] Spin2Team,https://cdn.discordapp.com/attachments/557386978782609428/822167473590763530/screenshot_-_2021-03-18T105741.241.png,23:48,Awootube,https://imgur.com/a/dyi7kcM,27:44,,
,,,,,,,,,,,,,,,,,,
,,,,,,,Placement,FFA 3m,,Time,Maze 3m,,Time,TDM 3m,,Time,,Requirements (3m)
,,,,,,,,,,,,,,,,,,
,,,,,,,#1,4m,https://media.discordapp.net/attachments/835384578830368819/860804041569992714/Screenshot_2366.png?,36:03,Quad,https://media.discordapp.net/attachments/479724623093694476/864045286225870848/zlYqtqX.png?width=1164&height=655,36:00,Sashazzz,https://imgur.com/a/ztxuXgJ,35:42,,1. FFA runs must be below 1 hour
,,,,,,,#2,4m,https://media.discordapp.net/attachments/835384578830368819/860803676276391946/Screenshot_1687.png?,38:36,Quad,https://media.discordapp.net/attachments/479724623093694476/864045360862855168/ymoIImV.png?width=1164&height=655,37:04,ascending,https://imgur.com/a/zDCp6gF,38:36,,2. Maze runs must be below 1 hour
,,,,,,,#3,4m,https://media.discordapp.net/attachments/835384578830368819/860803688472510474/Screenshot_1731.png?,39:36,Quad,https://youtu.be/o8SBTdO93Nc,37:19,rela 🐣,https://media.discordapp.net/attachments/725995383800594488/846588638698537000/unknown.png?width=1120&height=630,43:13,,3. TDM must be below  1 hour
,,,,,,,#4,2not1🌹,https://imgur.com/a/Ij0kLHT,44:41,Roman,https://imgur.com/a/CaPAT97,40:06,ascending,https://imgur.com/a/7pOBbMf,44:04,,
,,,,,,,#5,evil isopod,https://media.discordapp.net/attachments/835597737642688562/954849021049065482/screenshot_13.png?width=1308&height=655,45:52,Chaos,https://imgur.com/a/gfPau3X,47:25,Quad,https://imgur.com/a/J7nvcxV,44:23,,
,,,,,,,,,,,,,,,,,,
,,,,,,,Placement,Legacy 1m,,Time,Legacy 2m,,Time,Legacy 3m,,Time,,Requirements (Legacy)
,,,,,,,,,,,,,,,,,,
,,,,,,,#1,rela 🐣,https://media.discordapp.net/attachments/395646588682240020/864055549339369482/unknown.png,6:03,rela 🐣,https://media.discordapp.net/attachments/395646588682240020/864056582332350494/VHGIJBa.png,19:30,rela 🐣,https://media.discordapp.net/attachments/395646588682240020/864048902729367582/TwH4NBV.png,30:50,,1. 1m times must be below 11 minutes
,,,,,,,#2,Quad,https://media.discordapp.net/attachments/479724623093694476/864034904115249162/Klgf3nE.png,7:34,rela 🐣,https://imgur.com/gallery/rJMahcb,24:47,rela 🐣,https://media.discordapp.net/attachments/395646588682240020/864048887122755584/kEmWu6D.png,35:01,,2. 2m times must be below 27 minutes
,,,,,,,#3,evil isopod,https://media.discordapp.net/attachments/479724623093694476/954854585720262666/screenshot_-_2020-04-07T091633.png,7:58,Quad,https://imgur.com/jOzI0dZ,26:03,OnyxD,https://imgur.com/a/XMOaSqo,36:06,,3. 3m times must be below 1 hour
,,,,,,,#4,evil isopod,https://media.discordapp.net/attachments/479724623093694476/954855106359230494/screenshot_-_2020-04-22T215842.png,8:00,🥕Crazy Carrot🥕,https://media.discordapp.net/attachments/579412094986878976/845378399627509780/2.489m_Fighter.png?width=1249&height=655,26:16,JellySnk,https://i.imgur.com/UxfvnCF.png,39:20,,4. Tank used must be a nerfed tank
,,,,,,,#5,bum,https://imgur.com/a/jBMCXFs,8:48,pedal,https://media.discordapp.net/attachments/594730975599001608/724747664394289342/unknown.png?,26:44,Sonder,https://cdn.discordapp.com/attachments/1009651830126563359/1020123740413100112/3.18m_Auto-5.png,39:49,,
